X_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
53,53,2021,Shirley Street Junior Public School Gardeners,Shirley Street Pollinator Garden,School Learning Garden,1,222,84,None,Shirley Street Junior Public School,38 Shirley Street,M5T 2S4,None,Davenport,9,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43672217, 43.64852423]]}"
54,54,2021,South Parkdale Pollinators,Springhurst and Close Pollinator Corridor,Multiple Front Yard Gardens,9,75,85,NIA,Private Residential Property,78 Springhurst Avenue ,M6K 1C7,None,Parkdale-High Park,4,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43286484, 43.63383811]]}"
55,55,2021,St. Angela Catholic School,Environment Club Pollinator Garden,School Learning Garden,1,10,2,NIA,St. Angela Catholic School,220 Mount Olive Drive,M6K 1B8,None,Etobicoke-North,1,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.59645051, 43.75474566]]}"
56,56,2021,St. Basil-the-Great College Pollinators,Pollinator Garden,School Learning Garden,1,100,23,None,St. Basil-the-Great College School,20 Starview Lane,M9M 3B2,None,Humber River-Black Creek,7,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.53332748, 43.72770719]]}"
57,57,2021,St. Cyril Parent Council,St.Cyril Pollinator Garden,School Learning Garden,1,40,37,None,St. Cyril Catholic School,18 Kempford Boulevard,M8Y 2Z7,None,Willowdale,18,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41662798, 43.77695352]]}"
58,58,2021,St. Louis Catholic School,St. Louis Pollinator Garden,School Learning Garden,1,12,16,None,St. Louis Catholic School,11 Morgan Avenue,M2N 2B9,None,Etobicoke-Lakeshore,3,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5009257, 43.62648617]]}"
59,59,2021,Sustainability at Centennial,Pollinators at Progress,School Learning Garden,1,230,142,NIA,Centennial College,941 Progress Avenue,M1G 3T8,None,Scarborough-Guildwood,24,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.22702643, 43.78526466]]}"
60,60,2021,Taddlewood Heritage Association,"Butterfly Entrance, Wychwood Barns Park",Boulevard Garden,1,20,94,None,Wychwood Barns Park,18 Slade Avenue,M6G 3A1,None,Toronto-St. Paul's,12,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42378248, 43.67924447]]}"
61,61,2021,The Neighbourhood Organization (TNO),TNO Pollinator Garden,City Park,1,19,55,NIA,Leaside Park,5 Leaside Park Drive ,M9V 3Z5,None,Don Valley West,15,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34983662, 43.7023173]]}"
62,62,2021,Thorncliffe Park Women's Committee,Thorncliffe Pollinator Garden,City Park,2,400,55,NIA,RV Burgess Park,46 Thorncliffe Park Drive,M4H 1K2,None,Don Valley West,15,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34276179, 43.70278664]]}"
